_id,airline,name,alias,iata,icao,active,country,base
56e9b497732b6122f8790280,4,2 Sqn No 1 Elementary Flying Training School,,WYT,,N,United Kingdom,HGH
56e9b497732b6122f8790281,2,135 Airways,,GNL,GENERAL,N,United States,LHE
56e9b497732b6122f8790287,8,247 Jet Ltd,,TWF,CLOUD RUNNER,N,United Kingdom,FLS
56e9b497732b6122f8790289,10,40-Mile Air,Q5,MLA,MILE-AIR,Y,United States,GYA
56e9b497732b6122f879028b,12,611897 Alberta Limited,,THD,DONUT,N,Canada,PBL
56e9b497732b6122f879028d,14,Abacus International,1B,,,Y,Singapore,MQT
56e9b497732b6122f879028e,15,Abelag Aviation,W9,AAB,ABG,N,Belgium,SBY
56e9b497732b6122f8790290,17,Aero Aviation Centre Ltd.,,AAD,SUNRISE,N,Canada,OKJ
56e9b497732b6122f8790291,18,Aero Servicios Ejecutivos Internacionales,,SII,ASEISA,N,Mexico,DWC
56e9b497732b6122f8790295,22,Aloha Airlines,AQ,AAH,ALOHA,Y,United States,FPO
56e9b497732b6122f879029c,29,Askari Aviation,4K,AAS,AL-AAS,Y,Pakistan,THD
56e9b497732b6122f87902a3,34,"Afric'air Express",,AAX,AFREX,N,Ivory Coast,LOK
56e9b497732b6122f87902a4,37,Artem-Avia,,ABA,ARTEM-AVIA,N,Ukraine,JBR
56e9b497732b6122f87902a5,38,African Business and Transportations,,ABB,AFRICAN BUSINESS-,N,Democratic Republic of the Congo,KWJ
56e9b497732b6122f87902a6,39,Aban Air,K5,ABE,ABAN,n,Iran,NRL
56e9b497732b6122f87902a7,41,Abakan-Avia,,ABG,ABAKAN-AVIA,N,Russia,BGA
56e9b497732b6122f87902ab,44,Alberta Citylink,,ABK,ALBERTA CITYLINK,N,Canada,ROS
56e9b497732b6122f87902b4,53,Academy Airlines,,ACD,ACADEMY,N,United States,ORK
56e9b497732b6122f87902b6,55,Astral Aviation,8V,ACP,ASTRAL CARGO,Y,Kenya,BMA
56e9b497732b6122f87902b9,58,Air Cargo Transportation System,,ACU,AFRISPIRIT,N,Kenya,FYU
56e9b497732b6122f87902c2,68,Air Tindi,8T,,,Y,Canadian Territories,GVR
56e9b497732b6122f87902c3,69,Antonov Airlines,,ADB,ANTONOV BUREAU,N,Ukraine,PLM
56e9b497732b6122f87902c4,67,Aztec Worldwide Airlines,7A,,,N,United States,MAU
56e9b497732b6122f87902c5,70,Air Atlantic Dominicana,,ADC,ATLAN-DOMINICAN,N,Dominican Republic,GYS
56e9b497732b6122f87902c6,71,Advanced Air Co.,,ADD,,N,Japan,CNP
56e9b497732b6122f87902c8,73,Aerea Flying Training Organization,,ADG,AEREA TRAINING,N,Spain,NOC
56e9b497732b6122f87902cc,77,Aero Dynamics,,ADL,COTSWOLD,N,United Kingdom,KNS
