_id,system.name,system.planet.letter,system.planet.discovery_method,system.planet.name,system.numbers_of_planets,system.star_solar_masses
59c8fea24fd6da387fd81415,14 And,b,Radial Velocity,14 And b,1,2.2
59c8fea24fd6da387fd81416,14 Her,b,Radial Velocity,14 Her b,1,0.9
59c8fea24fd6da387fd81417,11 Com,b,Radial Velocity,11 Com b,1,2.7
59c8fea24fd6da387fd81418,11 UMi,b,Radial Velocity,11 UMi b,1,1.8
59c8fea24fd6da387fd81419,24 Sex,c,Radial Velocity,24 Sex c,2,1.54
59c8fea24fd6da387fd8141a,16 Cyg B,b,Radial Velocity,16 Cyg B b,1,0.99
59c8fea24fd6da387fd8141b,1RXS J160929.1-210524,b,Imaging,1RXS J160929.1-210524 b,1,0.85
59c8fea24fd6da387fd8141c,2MASS J01225093-2439505,b,Imaging,2MASS J01225093-2439505 b,1,0.4
59c8fea24fd6da387fd8141d,18 Del,b,Radial Velocity,18 Del b,1,2.3
59c8fea24fd6da387fd8141e,2MASS J02192210-3925225,b,Imaging,2MASS J02192210-3925225 b,1,0.11
59c8fea24fd6da387fd8141f,2MASS J12073346-3932539,b,Imaging,2MASS J12073346-3932539 b,1,0.02
59c8fea24fd6da387fd81420,2MASS J04414489+2301513,b,Imaging,2MASS J04414489+2301513 b,1,0.02
59c8fea24fd6da387fd81421,2MASS J19383260+4603591,b,Eclipse Timing Variations,2MASS J19383260+4603591 b,1,0.48
59c8fea24fd6da387fd81422,30 Ari B,b,Radial Velocity,30 Ari B b,1,1.16
59c8fea24fd6da387fd81423,4 UMa,b,Radial Velocity,4 UMa b,1,1.23
59c8fea24fd6da387fd81424,2MASS J21402931+1625183 A,b,Imaging,2MASS J21402931+1625183 A b,1,0.08
59c8fea24fd6da387fd81425,24 Sex,b,Radial Velocity,24 Sex b,2,1.54
59c8fea24fd6da387fd81426,42 Dra,b,Radial Velocity,42 Dra b,1,0.98
59c8fea24fd6da387fd81427,47 UMa,c,Radial Velocity,47 UMa c,3,1.03
59c8fea24fd6da387fd81428,47 UMa,b,Radial Velocity,47 UMa b,3,1.03
59c8fea24fd6da387fd81429,51 Eri,b,Imaging,51 Eri b,1,1.75
59c8fea24fd6da387fd8142a,51 Peg,b,Radial Velocity,51 Peg b,1,1.12
59c8fea24fd6da387fd8142b,47 UMa,d,Radial Velocity,47 UMa d,3,1.03
59c8fea24fd6da387fd8142c,55 Cnc,b,Radial Velocity,55 Cnc b,5,0.91
59c8fea24fd6da387fd8142d,55 Cnc,c,Radial Velocity,55 Cnc c,5,0.91
59c8fea24fd6da387fd8142e,55 Cnc,e,Radial Velocity,55 Cnc e,5,0.91
59c8fea24fd6da387fd8142f,6 Lyn,b,Radial Velocity,6 Lyn b,1,1.7
59c8fea24fd6da387fd81430,55 Cnc,f,Radial Velocity,55 Cnc f,5,0.91
59c8fea24fd6da387fd81431,55 Cnc,d,Radial Velocity,55 Cnc d,5,0.91
59c8fea24fd6da387fd81432,61 Vir,c,Radial Velocity,61 Vir c,3,0.94
59c8fea24fd6da387fd81433,61 Vir,b,Radial Velocity,61 Vir b,3,0.94
59c8fea24fd6da387fd81434,7 CMa,b,Radial Velocity,7 CMa b,1,1.52
59c8fea24fd6da387fd81435,61 Vir,d,Radial Velocity,61 Vir d,3,0.94
59c8fea24fd6da387fd81436,70 Vir,b,Radial Velocity,70 Vir b,1,1.09
59c8fea24fd6da387fd81437,75 Cet,b,Radial Velocity,75 Cet b,1,2.49
59c8fea24fd6da387fd81438,8 UMi,b,Radial Velocity,8 UMi b,1,1.8
59c8fea24fd6da387fd81439,81 Cet,b,Radial Velocity,81 Cet b,1,2.4
59c8fea24fd6da387fd8143a,91 Aqr,b,Radial Velocity,91 Aqr b,1,1.4
59c8fea24fd6da387fd8143b,BD+14 4559,b,Radial Velocity,BD+14 4559 b,1,0.86
59c8fea24fd6da387fd8143c,AB Pic,b,Imaging,AB Pic b,1,
59c8fea24fd6da387fd8143d,BD+15 2375,b,Radial Velocity,BD+15 2375 b,1,1.08
