web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1565019059-236","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@itsatrappt","IT'S A TRAP","Sábado Comethazine em Lisboa!!
Últimas pulseiras com os rp’s ou em qualquer worten e fnac do país! pic.twitter.com/4sv3nj6JCl","","20","31","1554802867000","2:41 AM - 9 Apr 2019","/itsatrappt/status/1115550197805920258"
"1565019059-274","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@itsmishlawi","mishlawi","amanhã as 17h na fnac https://twitter.com/fuckuandyourhoe/status/1094229996338585605 …","","13","161","1549719998000","5:46 AM - 9 Feb 2019","/itsmishlawi/status/1094231100145176576"
"1565019059-64","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@FNACTchave","hacker russo","7 da matina e nego vem querer interromper meu raio crlpic.twitter.com/EeIXIgdgdy","","","6","1564741623000","3:27 AM - 2 Aug 2019","/FNACTchave/status/1157236359817568256"
"1565019059-233","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@hoefuss","ivan ⊬","se eu chegar à fnac com notas do monopólio para pagar o passe do sbsr, será que abrem exceção?","1","6","27","1554845818000","2:36 PM - 9 Apr 2019","/hoefuss/status/1115730347554164737"
"1565019059-173","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@theumilk99","gOnÇaL0 PIROCA de c*****","porra trabalhaste um mes na fnac nem sei como sobreviveste mano juro ja viram bem este campeao? TRAGAM UM PREMIO , ELE TRABALHOU UM MES NA FNAC, QUE HEROI https://twitter.com/Ricardolopes_27/status/1142053839392129024 …","8","38","304","1561121872000","5:57 AM - 21 Jun 2019","/theumilk99/status/1142054023660371969"
"1565019059-209","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@MongeDraws","MongeDraws","#FnacRenuevatufilmoteca  Terminator IIpic.twitter.com/rx4X4asbXb","1","17","44","1557169229000","12:00 PM - 6 May 2019","/MongeDraws/status/1125475437650620417"
"1565019059-249","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@fpbasquetebol","FPBasquetebol","Está quase aí a Final 8 da Taça de Portugal masculina (5.ª feira a domingo), na Portimão Arena!

Podem comprar os bilhetes em http://www.bol.pt , CTT, Fnac ou Worten, assim como na cidade algarvia – Teatro Municipal, Museu ou Arena Portimão.

 http://goo.gl/pz5oRK pic.twitter.com/hkGX8o8fEy","","3","21","1552334612000","1:03 PM - 11 Mar 2019","/fpbasquetebol/status/1105197586103889921"
"1565019059-191","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@bangpdportugal","Bang PD Portugal","Told ya  

Já temos os DVDs à venda na Fnac pic.twitter.com/UifsrTLFKS","15","38","141","1559763083000","12:31 PM - 5 Jun 2019","/bangpdportugal/status/1136354852072820736"
"1565019059-324","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@AhmirReturns","Ahmir_Returns","Django desencadenado","","","","1546336373000","1:52 AM - 1 Jan 2019","/AhmirReturns/status/1080039148109680640"
"1565019059-290","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@CFosBelenenses","Os Belenenses","A partir das 10h, o #Belenenses espera por ti na Praça FNAC do CC Alegro Alfragide onde arranca o circuito nacional da exposição #BelenensesCentenário - Mostra da História do Clube de Futebol ""Os Belenenses"".
Vem comemorar connosco os  anos do CFB! #tweetpastel #CentenárioCFBpic.twitter.com/hME7pep41r","","20","60","1548061200000","1:00 AM - 21 Jan 2019","/CFosBelenenses/status/1087273594974015488"
"1565019059-288","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@CFosBelenenses","Os Belenenses","Nova oportunidade! 
 anos de História do #Belenenses estão à tua espera na Praça FNAC do Centro Comercial Alegro Alfragide. Visita-nos até dia 28 das 10h00 às 23h00! 
#CentenárioCFB #tweetpastelpic.twitter.com/sdDIJaaBUH","","8","39","1548148500000","1:15 AM - 22 Jan 2019","/CFosBelenenses/status/1087639757973184512"
"1565019059-228","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@vulpeskooks","Copper  🇵🇹","Entendo q seja lixado saber q o nosso € vai para os charts espanhóis, mas daí estarem a atirar hate à Fnac, que tem sido a nossa melhor amiga em termos de acessibilidade a produtos de kpop e que até já apoia a realização de meets... pic.twitter.com/yaa4GJIWLs","2","11","45","1555278378000","2:46 PM - 14 Apr 2019","/vulpeskooks/status/1117544635646267392"
"1565019059-279","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@pedropapito0","Pereira  👊🏼","A Fnac do fórum lá para 2042 tá pronta","2","441","405","1548964981000","12:03 PM - 31 Jan 2019","/pedropapito0/status/1091064326973202432"
"1565019059-153","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@AviacaoGovBr","Sec de Aviação Civil","No campo da aviação regional, @tarcisiogdf afirmou que o @governodobrasil prepara novos investimentos do FNAC (Fundo Nacional de Aviação Civil). Para o Aeroporto de Barreiras/BA, estão em andamento duas grandes ações no âmbito do Programa de Investimentos em Aviação Regional  pic.twitter.com/rIrdKyzI3H","3","58","253","1564156400000","8:53 AM - 26 Jul 2019","/AviacaoGovBr/status/1154781759445319682"
"1565019059-116","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@saulescritor","saul fragoso","descobre o caminho da riqueza que há em ti! - Compra ebook na http://Fnac.pt  #fnac https://www.fnac.pt/livre-numerique/a7008797/descobre-o-caminho-da-riqueza-que-ha-em-ti …","","","1","1564605872000","1:44 PM - 31 Jul 2019","/saulescritor/status/1156666978574188546"
"1565019059-239","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@Bultaourune","💜Elli _BTS PRINCES OF POP 👑 🤟","E sem falar que o BTS é o «único» grupo coreano no Top de vendas online da fnac e o #1 em pré-vendas de música, o impacto dos Reis, AMO!!

@BTS_twthttps://twitter.com/bangpdportugal/status/1113156345644056580 …","2","20","43","1554300919000","7:15 AM - 3 Apr 2019","/Bultaourune/status/1113444874576171008"
"1565019059-151","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@ritinha_costa09","Ritinha","Finalmente vai abrir Fnac em Viana","","1","1","1564407340000","6:35 AM - 29 Jul 2019","/ritinha_costa09/status/1155834276623073280"
"1565019059-136","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@gotswhun","ℳ","Lol melhor fnac https://twitter.com/fnacportugal/status/1157237591718191104 …","","","3","1564758260000","8:04 AM - 2 Aug 2019","/gotswhun/status/1157306142529327104"
